PID,Country,Age,Gender,Counterbalance,Video_Gender,Smart,Behave,Grades,Edu_asp,nationality,nationality_other,origin,origin_other,parent,employment,employment_other,occupation,occupation_other,ethnicity,ethnicity_other,Education,SES,income_annual,,
N151,4,57,Male,2,2,0,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,Yes,Retired,,Retired,,Caucasian,,Associate's defree or Certificate/Diploma,6,"$8,000 - $16,999",,
N155,4,41,Female,1,1,0,1,0,Bachelor's degree or Honors degree,Australia,,Australia,,No,Full-time,,Government,,Caucasian,,Bachelor's degree or Honors degree,7,"$64,000 - $83,999",,
N157,4,18,Female,2,1,0,1,1,Some high/secondary school,Australia,,Australia,,No,Unemployed,,Unemployed,,Caucasian,,Some high/secondary school,6,I don't know,,
N160,4,23,Female,2,1,0,1,1,High/Secondary school,Australia,,Australia,,No,Casual,,Other (please specify),Journalist,Caucasian,,Bachelor's degree or Honors degree,6,"$8,000 - $16,999",,
N181,4,28,Female,2,2,0,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,No,Full-time,,Service,,Caucasian,,Associate's defree or Certificate/Diploma,6,"$64,000 - $83,999",,
N191,4,39,Female,1,1,0,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,Yes,Full-time,,Government,,Caucasian,,Bachelor's degree or Honors degree,6,"More than $83,999",,
N197,4,50,Female,1,2,0,1,0,Bachelor's degree or Honors degree,Australia,,Australia,,Yes,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,7,"More than $83,999",,
R279,4,77,Male,1,1,0,1,1,Associate's degree or Certificate/Diploma,Australia,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,Associate's defree or Certificate/Diploma,7,"$35,000 - $63,999",,
R292,4,79,Female,1,1,0,1,1,Some college/university,Australia,,Other (please specify):,France ,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,6,"$17,000 - $34,999",,
R294,4,65,Male,2,2,0,1,0,High/Secondary school,Australia,,Australia,,Yes,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,7,"Less than $7,999",,
R307,4,30,Female,1,1,0,1,1,Bachelor's degree or Honors degree,Other (please specify):,Indian,Other (please specify):,India ,Yes,Part-time,,"Management, professional, and related",,Asian,,Master's degree,10,I don't know,,
506,4,64,Male,2,1,0,1,1,Bachelor's degree or Honors degree,"Australia,Other (please specify):",Egyptian,Other (please specify):,"Alexandria , Egypt",Yes,Part-time,,"Construction, extraction, and maintenance",,African,,Associate's defree or Certificate/Diploma,7,"$35,000 - $63,999",,
509,4,73,Male,1,1,0,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,Yes,Casual,,"Management, professional, and related,Retired",,Caucasian,,Associate's defree or Certificate/Diploma,8,"$64,000 - $83,999",,
513,4,53,Male,1,1,0,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,No,Full-time,,"Farming, fishing, and forestry",,Caucasian,,High/Secondary school,5,"More than $83,999",,
533,4,53,Female,1,2,0,1,1,PhD or other higher postgraduate degrees,Other (please specify):,latvian,Other (please specify):,Latvia,Yes,Part-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"$35,000 - $63,999",,
575,4,54,Female,1,1,0,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,8,"More than $83,999",,
605,4,28,Female,2,1,0,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,Yes,Full-time,,Other (please specify),Farmer,Caucasian,,Bachelor's degree or Honors degree,7,"$35,000 - $63,999",,
626,4,19,Female,1,1,0,1,0,Some college/university,Australia,,Australia,,No,Part-time,,"Management, professional, and related",,Caucasian,,Some college/university,4,"$35,000 - $63,999",,
N124,4,61,Male,2,2,0,1,1,Associate's degree or Certificate/Diploma,Australia,,Australia,,Yes,Part-time,,"Management, professional, and related",,Caucasian,,Associate's defree or Certificate/Diploma,7,"$17,000 - $34,999",,
N139,4,61,Male,1,1,0,1,0,High/Secondary school,Australia,,Australia,,Yes,Casual,,"Production, transportation, and material moving",,Caucasian,,Some high/secondary school,6,"$35,000 - $63,999",,
N192,4,38,Female,1,2,0,1,1,Some high/secondary school,Australia,,Australia,,Yes,Part-time,,Other (please specify),Small business owner,Caucasian,,Some high/secondary school,6,"$64,000 - $83,999",,
N202,4,41,Female,1,1,0,1,1,High/Secondary school,Australia,,Australia,,Yes,Part-time,,Other (please specify),Teacher ,Caucasian,,Bachelor's degree or Honors degree,7,"$64,000 - $83,999",,
N205,4,51,Female,1,2,0,1,1,High/Secondary school,Australia,,Australia,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,7,"$35,000 - $63,999",,
R288,4,40,Male,1,1,0,1,0,High/Secondary school,Australia,,Australia,,Yes,Part-time,,Other (please specify),security,Aboriginal Australian,,High/Secondary school,3,"$64,000 - $83,999",,
R295,4,25,Female,2,2,0,1,0,High/Secondary school,"Australia,Other (please specify):",Aboriginal ,Australia,,No,Full-time,,Government,,Aboriginal Australian,,Associate's defree or Certificate/Diploma,7,"More than $83,999",,
R302,4,31,Male,2,2,0,1,0,Bachelor's degree or Honors degree,Australia,,Australia,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,7,"More than $83,999",,
644,4,20,Male,2,2,0,1,1,High/Secondary school,Australia,,Australia,,No,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,6,"$17,000 - $34,999",,
N110,4,55,Male,1,1,0,1,1,Associate's degree or Certificate/Diploma,Australia,,Other (please specify):,Malaysia,No,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,5,"$64,000 - $83,999",,
N153,4,38,Male,1,2,0,1,1,High/Secondary school,Australia,,Australia,,Yes,Full-time,,"Sales and office,Student",,Other,Argentinian,High/Secondary school,6,"$35,000 - $63,999",,
N199,4,36,Female,2,1,0,1,1,Bachelor's degree or Honors degree,Australia,,Australia,,No,Full-time,,Other (please specify),Non Profit,Caucasian,,Some college/university,6,"$64,000 - $83,999",,
N134,4,56,Male,2,2,0,1,0,Bachelor's degree or Honors degree,Australia,,Australia,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,7,"$64,000 - $83,999",,
N204,4,47,Female,1,2,0,1,1,High/Secondary school,Australia,,Australia,,Yes,Full-time,,"Management, professional, and related",,Other,Jewish ,High/Secondary school,7,"More than $83,999",,
607,4,28,Male,1,1,0,1,0,High/Secondary school,Other (please specify):,Vietnam,Other (please specify):,Vietnam,No,Full-time,,Service,,Asian,,Master's degree,1,"$17,000 - $34,999",,
571,4,56,Female,2,2,0,,0,Some college/university,Australia,,Australia,,No,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,5,"$17,000 - $34,999",,
729,5,55,Female,1,1,0,0,0,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Full-time,,Government,,Māori/ Cook Island Māori,,Bachelor's degree or Honors degree,4,"$30,000 - $49,999",,
R40,5,43,Male,2,1,0,0,0,High/Secondary school,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,6,"More than $100,000",,
704,5,75,Male,1,1,0,0,0,High/Secondary school,Other (please specify):,English,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,Associate's defree or Certificate/Diploma,6,"$15,000 - $29,999",,
744,5,66,Female,1,2,0,0,1,Master's degree,New Zealand,,New Zealand,,No,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,7,"$50,000 - $69,999",,
N50,5,37,Male,1,1,0,0,1,PhD or other higher postgraduate degrees,Other (please specify):,Indian,Other (please specify):,India,Yes,Full-time,,"Farming, fishing, and forestry",,Asian,,Associate's defree or Certificate/Diploma,8,"$50,000 - $69,999",,
N65,5,19,Non-binary/non-conforming,2,2,0,0,0,Some college/university,New Zealand,,New Zealand,,No,Student,,Student,,Caucasian,,Some college/university,6,"Less than $14,999",,
N88,5,56,Female,1,1,0,0,0,High/Secondary school,New Zealand,,New Zealand,,Yes,Unemployed,,Unemployed,,Māori/ Cook Island Māori,,Some college/university,5,"$15,000  - $29,999",,
675,5,60,Female,1,2,0,0,1,Some college/university,New Zealand,,New Zealand,,Yes,Part-time,,Other (please specify),media,Caucasian,,Some high/secondary school,6,"$30,000 - $49,999",,
726,5,25,Female,1,2,0,0,0,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,8,"More than $100,000",,
757,5,35,Male,2,2,0,0,0,Some college/university,New Zealand,,"Australia,New Zealand",,No,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,4,"$70,000 - $99,999",,
N3,5,27,Female,1,1,0,0,0,Some college/university,New Zealand,,New Zealand,,No,Full-time,,Sales and office,,Asian,,Associate's defree or Certificate/Diploma,5,"$50,000 - $69,999",,
N31,5,23,Male,2,1,0,0,0,High/Secondary school,New Zealand,,New Zealand,,No,Full-time,,"Production, transportation, and material moving",,Caucasian,,Some college/university,5,"$30,000  - $49,999",,
N35,5,50,Male,2,2,0,0,0,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Full-time,,Service,,Caucasian,,Master's degree,6,"$50,000 - $69,999",,
R34,5,57,Female,2,1,0,0,0,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,No,Full-time,,"Management, professional, and related",,Caucasian,,Associate's defree or Certificate/Diploma,5,"More than $100,000",,
N104,5,76,Female,1,2,0,0,0,Some high/secondary school,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,9,"$15,000  - $29,999",,
N43,5,18,Male,2,1,0,0,1,High/Secondary school,New Zealand,,New Zealand,,No,Student,,"Unemployed,Student",,Caucasian,,Some high/secondary school,10,"Less than $14,999",,
R10,5,22,Female,1,1,0,0,0,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,No,Full-time,,Service,,Caucasian,,Bachelor's degree or Honors degree,6,"$30,000  - $49,999",,
665,5,71,Male,2,1,0,1,0,High/Secondary school,New Zealand,,Other (please specify):,Fiji,Yes,Unemployed,,Other (please specify),Clerical Duties,Other,Indo Fijian,Associate's defree or Certificate/Diploma,1,"Less than $14,999",,
667,5,82,Male,2,1,0,1,0,High/Secondary school,New Zealand,,New Zealand,,Yes,Retired,,Other (please specify),Don't work,Caucasian,,High/Secondary school,6,"$15,000 - $29,999",,
703,5,46,Female,2,2,0,1,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Other,Homemaker,Unemployed,,Caucasian,,High/Secondary school,5,"Less than $14,999",,
N73,5,20,Female,2,2,0,1,1,High/Secondary school,New Zealand,,New Zealand,,No,Full-time,,"Management, professional, and related",,Caucasian,,Some college/university,4,"$50,000 - $69,999",,
N75,5,20,Female,2,2,0,1,1,High/Secondary school,New Zealand,,New Zealand,,No,Student,,Student,,"Caucasian,Māori/ Cook Island Māori",,Some college/university,5,"Less than $14,999",,
N81,5,19,Female,1,2,0,1,1,Some college/university,New Zealand,,New Zealand,,No,Student,,Student,,Caucasian,,Associate's defree or Certificate/Diploma,5,I don't know,,
N83,5,24,Female,1,1,0,1,1,Some high/secondary school,New Zealand,,New Zealand,,No,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"$50,000 - $69,999",,
N91,5,56,Female,1,1,0,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,Yes,Part-time,,Sales and office,,Caucasian,,Some college/university,5,"$30,000  - $49,999",,
R21,5,56,Female,1,2,0,1,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Full-time,,Government,,Māori/ Cook Island Māori,,Bachelor's degree or Honors degree,7,"$50,000 - $69,999",,
R46,5,47,Male,1,1,0,1,0,PhD or other higher postgraduate degrees,New Zealand,,Other (please specify):,India,Yes,Full-time,,Service,,Asian,,Master's degree,7,"$70,000 -  $99,999",,
R48,5,21,Male,2,1,0,1,0,High/Secondary school,New Zealand,,New Zealand,,No,Part-time,,Service,,Asian,,Some college/university,3,"$30,000  - $49,999",,
657,5,33,Female,1,1,0,1,1,High/Secondary school,New Zealand,,New Zealand,,No,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,7,"More than $100,000",,
674,5,59,Female,2,1,0,1,0,High/Secondary school,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,5,"$50,000 - $69,999",,
676,5,48,Male,2,1,0,1,1,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Full-time,,"Service,Sales and office",,Caucasian,,High/Secondary school,3,"$50,000 - $69,999",,
712,5,32,Female,2,1,0,1,1,Bachelor's degree or Honors degree,Other (please specify):,Philippines,Other (please specify):,Philippines,Yes,Unemployed,,Unemployed,,Asian,,Bachelor's degree or Honors degree,6,I don't know,,
721,5,29,Female,1,2,0,1,0,Some college/university,New Zealand,,New Zealand,,Yes,Part-time,,Sales and office,,Other,New Zealander,Associate's defree or Certificate/Diploma,5,"$50,000 - $69,999",,
733,5,50,Female,2,2,0,1,1,Some college/university,New Zealand,,New Zealand,,Yes,Full-time,,Sales and office,,Caucasian,,Associate's defree or Certificate/Diploma,3,"$30,000 - $49,999",,
753,5,45,Female,1,2,0,1,0,Some college/university,New Zealand,,Other (please specify):,Eastern Europe,No,Part-time,,"Management, professional, and related",,Other,European,PhD or other higher postgraduate degrees,5,"$30,000 - $49,999",,
763,5,57,Female,2,2,0,1,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Unemployed,,Unemployed,,Caucasian,,Associate's defree or Certificate/Diploma,3,"Less than $14,999",,
767,5,47,Female,1,1,0,1,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,7,"More than $100,000",,
770,5,29,Female,1,1,0,1,0,Some college/university,New Zealand,,New Zealand,,No,Full-time,,Sales and office,,Caucasian,,High/Secondary school,6,"$70,000 - $99,999",,
772,5,34,Female,2,2,0,1,1,Bachelor's degree or Honors degree,New Zealand,,Other (please specify):,singapore,No,Full-time,,"Production, transportation, and material moving",,Asian,,Bachelor's degree or Honors degree,5,"More than $100,000",,
786,5,35,Male,2,1,0,1,0,Some college/university,New Zealand,,New Zealand,,No,Full-time,,Government,,Asian,,Bachelor's degree or Honors degree,6,"More than $100,000",,
793,5,21,Male,2,1,0,1,1,Master's degree,New Zealand,,New Zealand,,No,Student,,Student,,Asian,,Bachelor's degree or Honors degree,8,"Less than $14,999",,
794,5,21,Male,1,1,0,1,0,Some college/university,New Zealand,,New Zealand,,No,Part-time,,Other (please specify),Non-for-profits,Asian,,Bachelor's degree or Honors degree,5,"Less than $14,999",,
N102,5,70,Female,2,1,0,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,Yes,Part-time,,Other (please specify),Hospitality ,Caucasian,,Associate's defree or Certificate/Diploma,7,"$50,000 - $69,999",,
N12,5,48,Male,2,2,0,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,No,Unemployed,,Unemployed,,Caucasian,,Associate's defree or Certificate/Diploma,2,"$15,000  - $29,999",,
N19,5,47,Male,2,1,0,1,1,PhD or other higher postgraduate degrees,New Zealand,,Other (please specify):,India,Yes,Full-time,,Other (please specify),Logistics ,Asian,,Master's degree,6,"$70,000 -  $99,999",,
N20,5,43,Male,1,2,0,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,No,Other,Freelancer,Other (please specify),ICT,Asian,,Some college/university,4,"Less than $14,999",,
N22,5,38,Male,2,1,0,1,1,PhD or other higher postgraduate degrees,Other (please specify):,African,Other (please specify):,Nigeria,No,Unemployed,,Unemployed,,African,,Bachelor's degree or Honors degree,10,"More than $100,000",,
N33,5,34,Male,1,2,0,1,0,Some college/university,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,"Māori/ Cook Island Māori,Other",New Zealander,Associate's defree or Certificate/Diploma,7,"$70,000 -  $99,999",,
N36,5,22,Male,1,1,0,1,1,Some college/university,Other (please specify):,Filipino,New Zealand,,No,Full-time,,"Management, professional, and related",,Asian,,Associate's defree or Certificate/Diploma,4,I don't know,,
N49,5,34,Male,1,2,0,1,0,High/Secondary school,New Zealand,,New Zealand,,Yes,Full-time,,"Production, transportation, and material moving",,Caucasian,,High/Secondary school,4,"$70,000 -  $99,999",,
N69,5,20,Female,2,1,0,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,No,Student,,Student,,Caucasian,,Some college/university,6,"Less than $14,999",,
N84,5,24,Female,1,2,0,1,0,Some high/secondary school,New Zealand,,New Zealand,,No,Full-time,,Government,,"Caucasian,Māori/ Cook Island Māori",,Bachelor's degree or Honors degree,6,"$70,000 -  $99,999",,
N92,5,35,Female,2,1,0,1,0,Some college/university,United Kingdom,,Other (please specify):,zimbabwe,Yes,Full-time,,Other (please specify),executive assistant ,Other,mixed african ,Associate's defree or Certificate/Diploma,8,"$50,000 - $69,999",,
N96,5,79,Female,2,2,0,1,0,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,No,Part-time,,"Management, professional, and related",,Caucasian,,Master's degree,6,"$30,000  - $49,999",,
R13,5,63,Male,1,1,0,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,No,Full-time,,Service,,Caucasian,,Associate's defree or Certificate/Diploma,5,"$30,000  - $49,999",,
R16,5,31,Female,1,1,0,1,1,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Māori/ Cook Island Māori,,Bachelor's degree or Honors degree,5,"More than $100,000",,
R17,5,60,Female,1,1,0,1,0,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,6,"$70,000 -  $99,999",,
R24,5,71,Female,2,2,0,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,Yes,Part-time,,Other (please specify),Messenger delivery person,Other,New Zealander ,Associate's defree or Certificate/Diploma,6,"$50,000 - $69,999",,
R26,5,73,Male,1,1,0,1,1,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,Yes,Retired,,Retired,,Māori/ Cook Island Māori,,Associate's defree or Certificate/Diploma,4,"Less than $14,999",,
R41,5,48,Male,1,2,0,1,0,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,No,Unemployed,,Unemployed,,Caucasian,,Associate's defree or Certificate/Diploma,2,"$15,000  - $29,999",,
R49,5,18,Male,1,1,0,1,1,Some high/secondary school,New Zealand,,New Zealand,,No,Full-time,,"Sales and office,Student",,Māori/ Cook Island Māori,,Associate's defree or Certificate/Diploma,6,"$30,000  - $49,999",,
R5,5,20,Female,2,2,0,1,0,High/Secondary school,"New Zealand,Other (please specify):","Tahitian, niuean, Maori ",New Zealand,,Yes,Part-time,,Sales and office,,"Māori/ Cook Island Māori,Other",Niuean. Tahitian ,High/Secondary school,7,"$15,000  - $29,999",,
671,5,48,Female,1,1,0,1,1,Some high/secondary school,New Zealand,,New Zealand,,Yes,Full-time,,Sales and office,,Caucasian,,Bachelor's degree or Honors degree,3,"$30,000 - $49,999",,
679,5,70,Male,1,1,0,1,1,High/Secondary school,Other (please specify):,Cook Islands,Other (please specify):,Cook Islands,Yes,Full-time,,Service,,Other,Cook Islander,Some high/secondary school,6,I don't know,,
755,5,39,Female,2,2,0,1,1,Some college/university,New Zealand,,New Zealand,,No,Part-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,3,"$15,000 - $29,999",,
764,5,54,Female,1,1,0,1,1,Some college/university,United States of America,,Other (please specify):,South Africa,Yes,Part-time,,Service,,Caucasian,,PhD or other higher postgraduate degrees,8,"Less than $14,999",,
N25,5,47,Male,2,1,0,1,0,High/Secondary school,New Zealand,,New Zealand,,No,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,5,"Less than $14,999",,
N39,5,18,Female,1,1,0,1,1,Some college/university,New Zealand,,New Zealand,,No,Student,,"Service,Student",,"Māori/ Cook Island Māori,Other",Samoan,Some college/university,2,I don't know,,
N5,5,34,Male,2,2,0,1,0,High/Secondary school,New Zealand,,New Zealand,,No,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,3,"$70,000 -  $99,999",,
N54,5,75,Male,1,2,0,1,0,Associate's degree or Certificate/Diploma,United Kingdom,,New Zealand,,No,Retired,,Retired,,Caucasian,,Associate's defree or Certificate/Diploma,5,"$15,000  - $29,999",,
N56,5,70,Male,2,2,0,1,1,High/Secondary school,Other (please specify):,Cook Islander,Other (please specify):,Cook Islands,Yes,Full-time,,Other (please specify),Bus Driver,Māori/ Cook Island Māori,,Some high/secondary school,7,"More than $100,000",,
N67,5,21,Female,2,2,0,1,1,High/Secondary school,New Zealand,,New Zealand,,No,Full-time,,Other (please specify),Hospitality ,Caucasian,,Bachelor's degree or Honors degree,6,"$30,000  - $49,999",,
N82,5,23,Female,1,2,0,1,1,High/Secondary school,New Zealand,,Australia,,No,Full-time,,Other (please specify),Public relations ,Caucasian,,Bachelor's degree or Honors degree,4,"$50,000 - $69,999",,
N94,5,42,Female,2,1,0,1,1,Master's degree,New Zealand,,New Zealand,,No,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,5,"$70,000 -  $99,999",,
R43,5,47,Male,1,1,0,1,0,PhD or other higher postgraduate degrees,New Zealand,,Other (please specify):,India ,Yes,Full-time,,Other (please specify),Clerical ,Asian,,Master's degree,6,"$70,000 -  $99,999",,
R47,5,22,Male,2,1,0,1,0,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,No,Part-time,,"Management, professional, and related",,Middle Eastern,,Some college/university,5,"$30,000  - $49,999",,
R6,5,33,Female,2,2,0,1,1,Associate's degree or Certificate/Diploma,New Zealand,,New Zealand,,Yes,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,Master's degree,7,"More than $100,000",,
680,5,39,Female,2,2,0,1,1,PhD or other higher postgraduate degrees,New Zealand,,New Zealand,,No,Full-time,,Government,,Caucasian,,Bachelor's degree or Honors degree,6,"$50,000 - $69,999",,
693,5,32,Female,1,1,0,1,1,High/Secondary school,New Zealand,,New Zealand,,No,Part-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"$15,000 - $29,999",,
708,5,26,Female,2,1,0,1,1,Master's degree,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"$70,000 - $99,999",,
670,5,60,Male,2,1,0,1,1,Bachelor's degree or Honors degree,New Zealand,,New Zealand,,No,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,7,"More than $100,000",,
771,5,45,Female,2,1,0,1,0,Master's degree,New Zealand,,New Zealand,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Associate's defree or Certificate/Diploma,5,"$50,000 - $69,999",,
N74,5,36,Female,1,1,0,1,1,High/Secondary school,New Zealand,,New Zealand,,Yes,Part-time,,Government,,Caucasian,,Some high/secondary school,4,"$30,000  - $49,999",,
R22,5,34,Female,1,2,0,1,1,Bachelor's degree or Honors degree,Other (please specify):,Asian,Other (please specify):,Asia,Yes,Full-time,,"Management, professional, and related",,Asian,,Master's degree,7,"$50,000 - $69,999",,
713,5,89,Male,1,2,0,NA,0,Bachelor's degree or Honors degree,New Zealand,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,Associate's defree or Certificate/Diploma,7,"$30,000 - $49,999",,
85,1,76,Female,1,2,1,0,1,High/Secondary school,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,6,"$43,000 - $74,999",,
N278,1,50,Female,2,1,1,0,1,Some college/university,United States of America,,United States of America,,No,Unemployed,,Other (please specify),Homemaker ,Caucasian,,High/Secondary school,3,"Less than $22,999",,
N311,1,19,Female,1,1,1,0,0,High/Secondary school,United States of America,,"United States of America,Canada",,No,Full-time,,Service,,Caucasian,,High/Secondary school,3,"Less than $22,999",,
R110,1,68,Male,1,1,1,0,1,Some college/university,United States of America,,United States of America,,No,Part-time,,Service,,Caucasian,,Some college/university,3,"Less than $22,999",,
115,1,27,Female,1,2,1,0,0,PhD or other higher postgraduate degrees,United States of America,,United States of America,,Yes,Full-time,,Sales and office,,Caucasian,,Associate's degree or Certificate/Diploma,7,"$23,000 - $42,999",,
N217,1,48,Male,1,1,1,0,1,Some college/university,United States of America,,United States of America,,No,Full-time,,Service,,Caucasian,,Master's degree,3,"$43,000  - $74,999",,
N242,1,61,Male,2,2,1,0,1,High/Secondary school,United States of America,,United States of America,,No,Part-time,,Service,,African,,High/Secondary school,7,"$23,000  - $42,999",,
N244,1,46,Male,2,2,1,0,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Full-time,,"Production, transportation, and material moving",,Caucasian,,Associate's degree or Certificate/Diploma,5,"$43,000  - $74,999",,
84,1,29,Female,2,2,1,0,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Student,,Student,,"African,Caucasian",,Some college/university,5,"Less than $22,999",,
N260,1,51,Male,1,2,1,0,0,High/Secondary school,United States of America,,United States of America,,Yes,Retired,,Retired,,"Caucasian,Native American",,Some high/secondary school,6,I don't know,,
R61,1,30,Female,2,2,1,0,1,Some college/university,United States of America,,United States of America,,Yes,Full-time,,"Management, professional, and related",,"African,Caucasian,Asian",,Bachelor's degree or Honors degree,6,"$23,000  - $42,999",,
R93,1,30,Female,2,2,1,0,0,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,No,Unemployed,,Unemployed,,Caucasian,,Bachelor's degree or Honors degree,1,I don't know,,
R95,1,23,Female,1,2,1,0,1,Some college/university,United States of America,,United States of America,,No,Part-time,,Other (please specify),At home,Caucasian,,Some college/university,5,"Less than $22,999",,
R123,1,34,Male,1,2,1,0,0,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Full-time,,"Production, transportation, and material moving",,Caucasian,,High/Secondary school,3,"$43,000  - $74,999",,
10,1,44,Female,2,2,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Full-time,,"Management, professional, and related",,Caucasian,,PhD or other higher postgraduate degrees,6,"$43,000 - $74,999",,
24,1,75,Male,1,1,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Part-time,,Service,,Caucasian,,High/Secondary school,2,"$23,000 - $42,999",,
28,1,73,Male,1,2,1,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,PhD or other higher postgraduate degrees,8,"$43,000 - $74,999",,
39,1,68,Female,2,1,1,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,8,"Less than $22,999",,
40,1,68,Female,2,1,1,1,0,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Some college/university,6,"$23,000 - $42,999",,
45,1,68,Female,2,1,1,1,1,Master's degree,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,Associate's degree or Certificate/Diploma,2,"Less than $22,999",,
50,1,38,Female,1,2,1,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Part-time,,"Management, professional, and related",,Caucasian,,Some college/university,2,"$43,000 - $74,999",,
51,1,76,Male,1,2,1,1,1,PhD or other higher postgraduate degrees,United States of America,,United States of America,,Yes,Retired,,Retired,,"Caucasian,Latinx/Hispanic",,Bachelor's degree or Honors degree,7,"$96,000 - $199,999",,
54,1,20,Female,2,2,1,1,1,Some college/university,United States of America,,United States of America,,No,Student,,Student,,Caucasian,,Some college/university,8,"Less than $22,999",,
